ID;Name;Latitude;Longitude;TransportType;adresse;compl_adresse;code_postale
1;Gare de Lyon;48.8448057;2.3734794;metro;Place Louis Armand;Quartier des Quinze-Vingts;75012
2;Franklin D. Roosevelt;48.8690339;2.3099266;metro;Rond-point des Champs-Élysées-Marcel-Dassault;Quartier du Faubourg-du-Roule;75008
3;Tuileries;48.8645194;2.3296312;metro;Rue de Rivoli;Quartier Saint-Germain-l'Auxerrois;75001
4;Châtelet;48.8587782;2.3474106;metro;Rue de Rivoli;Quartier Les Halles;75001
5;Saint-Paul;48.8553844;2.3604068;metro;Rue de Rivoli;Quartier Saint-Gervais;75004
6;La Motte-Picquet - Grenelle;48.8489809;2.2981916;metro;Boulevard de Grenelle;Quartier de Grenelle;75015
7;Cambronne;48.8475232;2.3029457;metro;Boulevard Garibaldi;Quartier Necker;75015
8;Dupleix;48.8504095;2.2936611;metro;Boulevard de Grenelle;Quartier de Grenelle;75015
9;Gare Montparnasse;48.8400624;2.3191085;metro;Allée du Capitaine Dronne;Quartier Necker;75015
10;Convention;48.8372872;2.2966539;metro;Rue de Vaugirard;Quartier Saint-Lambert;75015
11;Invalides;48.8628261;2.3138373;metro;Quai d'Orsay;Quartier des Invalides;75007
12;Porte d'Orléans;48.8236307;2.3256075;metro;Avenue du Général Leclerc;Quartier du Petit-Montrouge;75014
13;Alésia;48.8280318;2.3270406;metro;Place Victor et Hélène Basch;Quartier du Petit-Montrouge;75014
14;Mouton-Duvernet;48.8312786;2.3298657;metro;Avenue du Général Leclerc;Quartier du Petit-Montrouge;75014
15;Saint-Jacques;48.8329806;2.3368199;metro;Boulevard Saint-Jacques;Quartier du Parc-de-Montsouris;75014
16;Glacière;48.8311451;2.3434916;metro;Paris 13e Arrondissement;Paris;75013
17;Place d'Italie;48.8309446;2.3558932;metro;Avenue d'Italie;Quartier de la Maison-Blanche;75013
18;Nationale;48.8331995;2.3628272;metro;Boulevard Vincent Auriol;Quartier de la Gare;75013
19;Chevaleret;48.83495;2.3681023;metro;Boulevard Vincent Auriol;Quartier de la Gare;75013
20;Quai de la Gare;48.8370444;2.3728619;metro;Boulevard Vincent Auriol;Quartier de la Salpêtrière;75013
21;Stalingrad;48.8842416;2.3670741;metro;Boulevard de la Villette;Quartier de la Villette;75019
22;Nation;48.847611;2.3955668;metro;Place de la Nation;Quartier de Picpus;75012
23;Buttes Chaumont;48.8783961;2.3812008;metro;Avenue Jacques de Liniers;Quartier du Combat;75019
24;Bolivar;48.8809263;2.3739077;metro;Avenue Secrétan;Quartier du Combat;75019
25;Buzenval;48.8518248;2.4013274;metro;Rue d'Avron;Quartier de Charonne;75020
26;Ménilmontant;48.8667079;2.3833739;metro;Place Jean Ferrat;Quartier Saint-Ambroise;75011
27;Père Lachaise;48.8629496;2.3874348;metro;Boulevard de Ménilmontant;Quartier du Père-Lachaise;75020
28;Philippe Auguste;48.8582563;2.3901666;metro;Quartier de la Roquette;Paris 11e Arrondissement;75011
29;Alexandre Dumas;48.85634;2.3944352;metro;Quartier Sainte-Marguerite;Paris 11e Arrondissement;75011
30;Belleville;48.872035;2.3768798;metro;Rue du Faubourg du Temple;Quartier de l'Hôpital Saint-Louis;75010
31;Couronnes;48.869062;2.3804698;metro;Rue des Couronnes;Quartier de la Folie-Méricourt;75011
32;Colonel Fabien;48.8774215;2.3710197;metro;Boulevard de la Villette;Quartier du Combat;75019
33;Blanche;48.8835274;2.3335853;metro;Boulevard de Clichy;Quartier des Grandes-Carrières;75018
34;Place de Clichy;48.8834776;2.3272899;metro;Quartier Saint-Georges;Paris 9e Arrondissement;75009
35;Rome;48.8823012;2.3213298;metro;Boulevard des Batignolles;Quartier des Batignolles;75017
36;Villiers;48.8811181;2.3149118;metro;Boulevard de Courcelles;Quartier de l'Europe;75008
37;Monceau;48.8803157;2.3086415;metro;Place de la République Dominicaine;Quartier de la Plaine-de-Monceau;75017
38;Porte Dauphine;48.8711895;2.2783699;metro;Avenue Hubert Germain;Quartier de la Porte-Dauphine;75116
39;Rue Saint-Maur;48.864335;2.3794817;metro;Avenue de la République;Quartier Saint-Ambroise;75011
40;Parmentier;48.8653571;2.3739035;metro;Avenue de la République;Quartier de la Folie-Méricourt;75011
41;Arts et Métiers;48.8654718;2.3561116;metro;Rue de Turbigo;Quartier des Arts-et-Métiers;75003
42;Bourse;48.8686539;2.3414383;metro;Place de la Bourse;Quartier Vivienne;75002
43;Quatre Septembre;48.8695929;2.3358665;metro;Rue Monsigny;Quartier Gaillon;75002
44;Opéra;48.8706446;2.33233;metro;Boulevard des Capucines;Quartier Gaillon;75002
45;Havre - Caumartin;48.8736792;2.3273189;metro;Boulevard Haussmann;Quartier de la Chaussée-d'Antin;75009
46;Malesherbes;48.8829752;2.3089995;metro;Avenue de Villiers;Quartier de la Plaine-de-Monceau;75017
47;Wagram;48.8840526;2.3037389;metro;Avenue de Villiers;Quartier de la Plaine-de-Monceau;75017
48;Pereire;48.8848183;2.298274;metro;Avenue de Villiers;Quartier de la Plaine-de-Monceau;75017
49;Porte de Champerret;48.8859272;2.2934906;metro;Boulevard Berthier;Quartier de la Plaine-de-Monceau;75017
50;Vaugirard;48.839587;2.3012795;metro;Rue de Vaugirard;Quartier Saint-Lambert;75015
51;Volontaires;48.8415334;2.3080102;metro;Rue de Vaugirard;Quartier Necker;75015
52;Falguière;48.8444916;2.317965;metro;Rue de Vaugirard;Quartier Necker;75015
53;Duroc;48.8468433;2.3166286;metro;Place Léon-Paul Fargue;Quartier Notre-Dame-des-Champs;75006
54;Bel-Air;48.8413382;2.4009129;metro;Boulevard de Picpus;Quartier de Picpus;75012
55;Marx Dormoy;48.8905061;2.3599967;metro;Rue de la Chapelle;Quartier de la Chapelle;75018
56;Jacques Bonsergent;48.8711191;2.3607546;metro;Boulevard de Magenta;Quartier de la Porte-Saint-Martin;75010
57;Maraîchers;48.8527267;2.4061303;metro;Rue d'Avron;Quartier de Charonne;75020
58;Rue des Boulets;48.8525808;2.3887914;metro;Boulevard Voltaire;Quartier Sainte-Marguerite;75011
59;Charonne;48.8547411;2.3853043;metro;Boulevard Voltaire;Quartier de la Roquette;75011
60;Voltaire;48.8581794;2.3798223;metro;Place Léon Blum;Quartier de la Roquette;75011
61;Saint-Ambroise;48.8610434;2.3747264;metro;Boulevard Voltaire;Quartier Saint-Ambroise;75011
62;Oberkampf;48.8641124;2.3694232;metro;Boulevard Voltaire;Quartier de la Folie-Méricourt;75011
63;Bonne Nouvelle;48.8705324;2.3487457;metro;Boulevard de Bonne Nouvelle;Quartier de la Porte-Saint-Denis;75010
64;Grands Boulevards;48.8714412;2.3434953;metro;Boulevard Poissonnière;Quartier du Faubourg-Montmartre;75009
65;Saint-Augustin;48.874471;2.3217921;metro;Boulevard Haussmann;Quartier de la Madeleine;75008
