Id_metro,Nom,Latitude,Longitude
1,Gare de Lyon,48.8448057,2.3734794
2,George V,48.8720617,2.3004148
3,Franklin D. Roosevelt,48.8690339,2.3099266
4,Tuileries,48.8645025,2.3296589
5,Louvre — Rivoli,48.8608027,2.3411235
6,Châtelet,48.8587782,2.3474106
7,Saint-Paul,48.8553907,2.3604173
8,La Motte-Picquet - Grenelle,48.8489809,2.2981916
9,Cambronne,48.8475232,2.3029457
10,Dupleix,48.8504095,2.2936611
11,Gare Montparnasse,48.8400624,2.3191085
12,Convention,48.8373115,2.2966255
13,Invalides,48.8628261,2.3138373
14,Porte d'Orléans,48.8236307,2.3256075
15,Alésia,48.8280318,2.3270406
16,Mouton-Duvernet,48.8312786,2.3298657
17,Denfert-Rochereau,48.8342613,2.3326258
18,Saint-Jacques,48.8329806,2.3368199
19,Glacière,48.8311451,2.3434916
20,Place d'Italie,48.8309446,2.3558932
21,Nationale,48.8331995,2.3628272
22,Chevaleret,48.83495,2.3681023
23,Quai de la Gare,48.8370444,2.3728619
24,Stalingrad,48.8842416,2.3670741
25,Nation,48.847611,2.3955668
26,Buttes Chaumont,48.8783961,2.3812008
27,Bolivar,48.8809263,2.3739077
28,Buzenval,48.8518166,2.4013757
29,Ménilmontant,48.8667079,2.3833739
30,Père Lachaise,48.8629496,2.3874348
31,Philippe Auguste,48.8582563,2.3901666
32,Alexandre Dumas,48.8563062,2.3944977
33,Belleville,48.872035,2.3768798
34,Couronnes,48.869062,2.3804698
35,Colonel Fabien,48.8774215,2.3710197
36,Blanche,48.8834886,2.3336343
37,Place de Clichy,48.8834776,2.3272899
38,Rome,48.8822428,2.3213306
39,Villiers,48.8811181,2.3149118
40,Monceau,48.8802919,2.3085925
41,Porte Dauphine,48.8711774,2.278372
42,Rue Saint-Maur,48.8643338,2.3794812
43,Parmentier,48.8653786,2.3739112
44,Arts et Métiers,48.8654718,2.3561116
45,Bourse,48.8686333,2.3414766
46,Quatre Septembre,48.8695954,2.3359026
47,Opéra,48.8706446,2.33233
48,Havre - Caumartin,48.8736792,2.3273189
49,Malesherbes,48.8828567,2.3092267
50,Wagram,48.884005,2.3037188
51,Pereire,48.8848146,2.2982736
52,Vaugirard,48.8395785,2.3012923
53,Volontaires,48.8415194,2.3080031
54,Falguière,48.8444916,2.317965
55,Duroc,48.8468433,2.3166286
56,Bel-Air,48.8413382,2.4009129
57,Marx Dormoy,48.8905061,2.3599967
58,Jacques Bonsergent,48.8711191,2.3607546
59,Maraîchers,48.8526992,2.4061094
60,Rue des Boulets,48.8525808,2.3887914
61,Charonne,48.8547441,2.3853565
62,Voltaire,48.858158,2.3798044
63,Saint-Ambroise,48.8610516,2.3747956
