latitude,longitude,dep,arret metro,nomcom,code postal,lieux à visiter,description
48.9436108846, 2.43183512035,93,"PARC DES EXPOSITIONS, PARIS LE BOURGET, 93350 LE B",LE BOURGET,93013,Paris le Bourget,Centre de congrès et parc d'exposition
48.8959764786, 2.38719302494,75,"30, AVENUE CORENTIN CARIOU, 75930 PARIS CEDEX 19",PARIS,75119,CITÉ DES SCIENCES ET DE L'INDUSTRIE,Centre de congrès et parc d'exposition
48.8900865765, 2.39175227622,75,"211, AVENUE JEAN JAURÈS, 75019 PARIS",PARIS,75119,LA GRANDE HALLE DE LA VILLETTE,Centre de congrès et parc d'exposition
48.8026371227, 2.12351707896,78,"10, RUE DE LA CHANCELLERIE, 78000 VERSAILLES",VERSAILLES,78646,PALAIS DES CONGRÈS DE VERSAILLES,Centre de congrès et parc d'exposition
49.0471683101, 2.1132703836,95,AVENUE RICHARD DE TOUR,Saint-OUEN-L'AUMONE,95572,Abbaye de Maubuisson,Diffusion de l'art (autre que musée)
48.6954920317, 2.54723218113,94,RUE DU MOULIN NEUF,PERIGNY,94056,Fondation Dubuffet,Diffusion de l'art (autre que musée)
48.8609963623, 2.33581863894,75,ENTRÉE PRINCIPALE PAR LA PYRAMIDE - (OU PAR LA GALERIE DU CARROUSEL),Paris,75101,Musée du Louvre,Musée et écomusée
48.8553706186, 2.34508034696,75,6 BOULEVARD DU PALAIS,Paris,75101,Sainte-Chapelle,Site et monument
48.8573434418, 2.36243593825,75,23 RUE DE SÉVIGNÉ,Paris,75103,Musée Carnavalet - musée de l'histoire de Paris,Musée et écomusée
48.8571495139, 2.36176762959,75,24 RUE PAVÉE,Paris,75104,Bibliothèque historique de la ville de Paris - hôtel de Lamoignon,Musée et écomusée
48.8553100376, 2.36688988163,75,21BIS RUE DES TOURNELLES,Paris,75104,Synagogue de la rue des Tournelles,Site et monument
48.8486930559, 2.34353303671,75,47 RUE DES ECOLES,Paris,75105,Sorbonne,Site et monument
48.8520160748, 2.3470495181,75,79 RUE GALANDE,Paris,75105,Église Saint-Julien-le-Pauvre,Site et monument
48.8418072198, 2.35773792937,75,36 RUE GEOFFREY Saint-HILAIRE,Paris,75105,Galerie de minéralogie et de géologie,Musée et écomusée
48.8675946796, 2.31879518032,75,1 AVENUE GABRIEL,Paris,75108,Espace Pierre Cardin,Musée et écomusée
48.8707957179, 2.32593215418,75,28 PLACE DE LA MADELEINE,Paris,75108,Pinacothèque de Paris,Musée et écomusée
48.8783213841, 2.33739740497,75,27 PLACE Saint-GEORGES,Paris,75109,Fondation Dosne-Thiers,Musée et écomusée
48.8373255111, 2.3595265486,75,82 BOULEVARD DE L'HÔPITAL,Paris,75113,Eglise Saint-Marcel,Site et monument
48.8303433162, 2.31398575604,75,3 RUE JONQUOY - ESPACE D'ART INTERNATIONAL,Paris,75114,Musée Adzak,Musée et écomusée
48.862556562, 2.28606597836,75,2 RUE DU COMMANDANT SCHLOESING,Paris,75116,Cimetière de Passy,Site et monument
48.8845301473, 2.33818130711,75,SQUARE DES ABBESSES,Paris,75118,Mur des je t'aime,Site et monument
